Sentiment,text
neutral,assignment manageable interesting
neutral,class okay nothing special
neutral,event neither exciting boring
neutral,dont strong opinion
neutral,another normal day
neutral,service fine nothing special
neutral,didnt love didnt hate either
neutral,weather okay hot cold
neutral,tried alright
neutral,something ive seen
neutral,met expectation nothing
neutral,dont really care either way
neutral,meeting went planned
neutral,new policy doesnt affect much
neutral,received email update
neutral,presentation neither good bad
neutral,work schedule remains unchanged
neutral,product supposed
neutral,price reasonable get
neutral,arrived time expected
neutral,packaging standard nothing fancy
neutral,quality acceptable cost
neutral,movie average nothing memorable
neutral,watched didnt leave big impact
neutral,book okay favorite
neutral,music decent outstanding
neutral,show good moment wasnt amazing
neutral,meal neither great terrible
neutral,tasted fine wouldnt order
neutral,portion size okay
neutral,didnt mind food wasnt special
neutral,service normal nothing complain
neutral,flight time expected
neutral,hotel fine short stay
neutral,train ride smooth uneventful
neutral,trip neither exciting disappointing
neutral,location convenient impressive
neutral,phone work advertised
neutral,battery life okay great
neutral,app say nothing
neutral,screen clear nothing extraordinary
neutral,update didnt change much
neutral,match fine exciting
neutral,team played okay nothing remarkable
neutral,ordinary game
neutral,score expected
neutral,performance decent outstanding
neutral,lecture fine like
neutral,test neither easy difficult
neutral,professor explained thing normal way
neutral,assignment manageable interesting
neutral,class okay nothing special
neutral,event neither exciting boring
neutral,dont strong opinion
neutral,another normal day
neutral,service fine nothing special
neutral,didnt love didnt hate either
neutral,weather okay hot cold
neutral,tried alright
neutral,something ive seen
neutral,met expectation nothing
neutral,dont really care either way
neutral,meeting went planned
neutral,new policy doesnt affect much
neutral,received email update
neutral,presentation neither good bad
neutral,work schedule remains unchanged
neutral,product supposed
neutral,price reasonable get
neutral,arrived time expected
neutral,packaging standard nothing fancy
neutral,quality acceptable cost
neutral,movie average nothing memorable
neutral,watched didnt leave big impact
neutral,book okay favorite
neutral,music decent outstanding
neutral,show good moment wasnt amazing
neutral,meal neither great terrible
neutral,tasted fine wouldnt order
neutral,portion size okay
neutral,didnt mind food wasnt special
neutral,service normal nothing complain
neutral,flight time expected
neutral,hotel fine short stay
neutral,train ride smooth uneventful
neutral,trip neither exciting disappointing
neutral,location convenient impressive
neutral,phone work advertised
neutral,battery life okay great
neutral,app say nothing
neutral,screen clear nothing extraordinary
neutral,update didnt change much
neutral,match fine exciting
neutral,team played okay nothing remarkable
neutral,ordinary game
neutral,score expected
neutral,performance decent outstanding
neutral,lecture fine like
neutral,test neither easy difficult
neutral,professor explained thing normal way
neutral,assignment manageable interesting
neutral,class okay nothing special
neutral,event neither exciting boring
neutral,dont strong opinion
neutral,another normal day
neutral,service fine nothing special
neutral,didnt love didnt hate either
neutral,weather okay hot cold
neutral,tried alright
neutral,something ive seen
neutral,met expectation nothing
neutral,dont really care either way
neutral,meeting went planned
neutral,new policy doesnt affect much
neutral,received email update
neutral,presentation neither good bad
neutral,work schedule remains unchanged
neutral,product supposed
neutral,price reasonable get
neutral,arrived time expected
neutral,packaging standard nothing fancy
neutral,quality acceptable cost
neutral,movie average nothing memorable
neutral,watched didnt leave big impact
neutral,book okay favorite
neutral,music decent outstanding
neutral,show good moment wasnt amazing
neutral,meal neither great terrible
neutral,tasted fine wouldnt order
neutral,portion size okay
neutral,didnt mind food wasnt special
neutral,service normal nothing complain
neutral,flight time expected
neutral,hotel fine short stay
neutral,train ride smooth uneventful
neutral,trip neither exciting disappointing
neutral,location convenient impressive
neutral,phone work advertised
neutral,battery life okay great
neutral,app say nothing
neutral,screen clear nothing extraordinary
neutral,update didnt change much
neutral,match fine exciting
neutral,team played okay nothing remarkable
neutral,ordinary game
neutral,score expected
neutral,performance decent outstanding
neutral,lecture fine like
neutral,test neither easy difficult
neutral,professor explained thing normal way
neutral,assignment manageable interesting
neutral,class okay nothing special
neutral,event neither exciting boring
neutral,dont strong opinion
neutral,another normal day
neutral,service fine nothing special
neutral,didnt love didnt hate either
neutral,weather okay hot cold
neutral,tried alright
neutral,something ive seen
neutral,met expectation nothing
neutral,dont really care either way
neutral,meeting went planned
neutral,new policy doesnt affect much
neutral,received email update
neutral,presentation neither good bad
neutral,work schedule remains unchanged
neutral,product supposed
neutral,price reasonable get
neutral,arrived time expected
neutral,packaging standard nothing fancy
neutral,quality acceptable cost
neutral,movie average nothing memorable
neutral,watched didnt leave big impact
neutral,book okay favorite
neutral,music decent outstanding
neutral,show good moment wasnt amazing
neutral,meal neither great terrible
neutral,tasted fine wouldnt order
neutral,portion size okay
neutral,didnt mind food wasnt special
neutral,service normal nothing complain
neutral,flight time expected
neutral,hotel fine short stay
neutral,train ride smooth uneventful
neutral,trip neither exciting disappointing
neutral,location convenient impressive
neutral,phone work advertised
neutral,battery life okay great
neutral,app say nothing
neutral,screen clear nothing extraordinary
neutral,update didnt change much
neutral,match fine exciting
neutral,team played okay nothing remarkable
neutral,ordinary game
neutral,score expected
neutral,performance decent outstanding
neutral,lecture fine like
neutral,test neither easy difficult
neutral,professor explained thing normal way
neutral,assignment manageable interesting
neutral,class okay nothing special
neutral,event neither exciting boring
neutral,dont strong opinion
neutral,another normal day
neutral,service fine nothing special
neutral,didnt love didnt hate either
neutral,weather okay hot cold
neutral,tried alright
neutral,something ive seen
neutral,met expectation nothing
neutral,dont really care either way
neutral,meeting went planned
neutral,new policy doesnt affect much
neutral,received email update
neutral,presentation neither good bad
neutral,work schedule remains unchanged
neutral,product supposed
neutral,price reasonable get
neutral,arrived time expected
neutral,packaging standard nothing fancy
neutral,quality acceptable cost
neutral,movie average nothing memorable
neutral,watched didnt leave big impact
neutral,book okay favorite
neutral,music decent outstanding
neutral,show good moment wasnt amazing
neutral,meal neither great terrible
neutral,tasted fine wouldnt order
neutral,portion size okay
neutral,didnt mind food wasnt special
neutral,service normal nothing complain
neutral,flight time expected
neutral,hotel fine short stay
neutral,train ride smooth uneventful
neutral,trip neither exciting disappointing
neutral,location convenient impressive
neutral,phone work advertised
neutral,battery life okay great
neutral,app say nothing
neutral,screen clear nothing extraordinary
neutral,update didnt change much
neutral,match fine exciting
neutral,team played okay nothing remarkable
neutral,ordinary game
neutral,score expected
neutral,performance decent outstanding
neutral,lecture fine like
neutral,test neither easy difficult
neutral,professor explained thing normal way
neutral,assignment manageable interesting
neutral,class okay nothing special
neutral,event neither exciting boring
neutral,dont strong opinion
neutral,another normal day
neutral,service fine nothing special
neutral,didnt love didnt hate either
neutral,weather okay hot cold
neutral,tried alright
neutral,something ive seen
neutral,met expectation nothing
neutral,dont really care either way
neutral,meeting went planned
neutral,new policy doesnt affect much
neutral,received email update
neutral,presentation neither good bad
neutral,work schedule remains unchanged
neutral,product supposed
neutral,price reasonable get
neutral,arrived time expected
neutral,packaging standard nothing fancy
neutral,quality acceptable cost
neutral,movie average nothing memorable
neutral,watched didnt leave big impact
neutral,book okay favorite
neutral,music decent outstanding
neutral,show good moment wasnt amazing
neutral,meal neither great terrible
neutral,tasted fine wouldnt order
neutral,portion size okay
neutral,didnt mind food wasnt special
neutral,service normal nothing complain
neutral,flight time expected
neutral,hotel fine short stay
neutral,train ride smooth uneventful
neutral,trip neither exciting disappointing
neutral,location convenient impressive
neutral,phone work advertised
neutral,battery life okay great
neutral,app say nothing
neutral,screen clear nothing extraordinary
neutral,update didnt change much
neutral,match fine exciting
neutral,team played okay nothing remarkable
neutral,ordinary game
neutral,score expected
neutral,performance decent outstanding
neutral,lecture fine like
neutral,test neither easy difficult
neutral,professor explained thing normal way
neutral,assignment manageable interesting
neutral,class okay nothing special
neutral,trip okay though weather could better
neutral,book interesting favorite
neutral,service acceptable though exceptional
neutral,design simple get job done
neutral,meal satisfying memorable
neutral,event okay though bit disorganized
neutral,product good price dont expect luxury
neutral,experience average neither good bad
neutral,movie entertaining plot predictable
neutral,hotel room clean though bit small
neutral,service polite particularly friendly
neutral,food okay portion small
neutral,app easy use lack advanced feature
neutral,concert enjoyable sound quality could better
neutral,product reliable though stylish
neutral,trip fine flight delayed
neutral,book wellwritten ending felt rushed
neutral,service prompt food average
neutral,experience okay didnt meet expectation
neutral,movie decent acting could better
neutral,hotel comfortable though decor outdated
neutral,product useful musthave
positive,event fun ended early
neutral,food good service slow
neutral,app handy crash occasionally
neutral,trip nice weather wasnt great
neutral,book engaging character flat
neutral,service efficient personalized
neutral,experience okay felt bit overhyped
neutral,movie alright pacing
neutral,hotel clean amenity limited
neutral,product affordable feel bit cheap
neutral,event wellorganized speaker boring
neutral,food tasty portion small
neutral,app userfriendly lack customization option
neutral,trip relaxing accommodation basic
neutral,book interesting writing style wasnt
neutral,service okay staff seemed uninterested
